benchmark,covered,not_covered,edges,total
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_f1,614,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_o0,1355,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_o1,635,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_o2,0,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_o3,1262,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_o3_native,3239,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_opt_disable,4494,20626
freetype2-2017,aflplusplus_ast_o2,aflplusplus_ast_opt_l1,4422,20626
freetype2-2017,aflplusplus_ast_o2,afl_from_input_seed,709,20626
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_f0,1619,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_f1,212,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_o0,1255,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_o1,233,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_o2,461,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_o3,0,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_o3_native,2488,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_opt_disable,3680,19825
freetype2-2017,aflplusplus_ast_o3,aflplusplus_ast_opt_l1,3625,19825
freetype2-2017,aflplusplus_ast_o3,afl_from_input_seed,464,19825
bloaty_fuzz_target,aflplusplus_ast_f0,aflplusplus_ast_f0,0,9278
bloaty_fuzz_target,aflplusplus_ast_f0,aflplusplus_ast_f1,264,9278
bloaty_fuzz_target,aflplusplus_ast_f0,aflplusplus_ast_o0,369,9278
bloaty_fuzz_target,aflplusplus_ast_f0,aflplusplus_ast_o1,213,9278
bloaty_fuzz_target,aflplusplus_ast_f0,aflplusplus_ast_o2,584,9278
bloaty_fuzz_target,aflplusplus_ast_f0,aflplusplus_ast_o3,504,9278
bloaty_fuzz_target,aflplusplus_ast_f1,aflplusplus_ast_f0,325,9339
bloaty_fuzz_target,aflplusplus_ast_f1,aflplusplus_ast_f1,0,9339
bloaty_fuzz_target,aflplusplus_ast_f1,aflplusplus_ast_o0,397,9339
bloaty_fuzz_target,aflplusplus_ast_f1,aflplusplus_ast_o1,161,9339
bloaty_fuzz_target,aflplusplus_ast_f1,aflplusplus_ast_o2,596,9339
bloaty_fuzz_target,aflplusplus_ast_f1,aflplusplus_ast_o3,452,9339
bloaty_fuzz_target,aflplusplus_ast_o0,aflplusplus_ast_f0,210,9119
bloaty_fuzz_target,aflplusplus_ast_o0,aflplusplus_ast_f1,177,9119
bloaty_fuzz_target,aflplusplus_ast_o0,aflplusplus_ast_o0,0,9119
bloaty_fuzz_target,aflplusplus_ast_o0,aflplusplus_ast_o1,131,9119
bloaty_fuzz_target,aflplusplus_ast_o0,aflplusplus_ast_o2,515,9119
bloaty_fuzz_target,aflplusplus_ast_o0,aflplusplus_ast_o3,458,9119
bloaty_fuzz_target,aflplusplus_ast_o1,aflplusplus_ast_f0,511,9576
bloaty_fuzz_target,aflplusplus_ast_o1,aflplusplus_ast_f1,398,9576
bloaty_fuzz_target,aflplusplus_ast_o1,aflplusplus_ast_o0,588,9576
bloaty_fuzz_target,aflplusplus_ast_o1,aflplusplus_ast_o1,0,9576
bloaty_fuzz_target,aflplusplus_ast_o1,aflplusplus_ast_o2,811,9576
bloaty_fuzz_target,aflplusplus_ast_o1,aflplusplus_ast_o3,691,9576
bloaty_fuzz_target,aflplusplus_ast_o2,aflplusplus_ast_f0,200,8894
bloaty_fuzz_target,aflplusplus_ast_o2,aflplusplus_ast_f1,151,8894
bloaty_fuzz_target,aflplusplus_ast_o2,aflplusplus_ast_o0,290,8894
bloaty_fuzz_target,aflplusplus_ast_o2,aflplusplus_ast_o1,129,8894
bloaty_fuzz_target,aflplusplus_ast_o2,aflplusplus_ast_o2,0,8894
bloaty_fuzz_target,aflplusplus_ast_o2,aflplusplus_ast_o3,339,8894
bloaty_fuzz_target,aflplusplus_ast_o3,aflplusplus_ast_f0,143,8917
bloaty_fuzz_target,aflplusplus_ast_o3,aflplusplus_ast_f1,30,8917
bloaty_fuzz_target,aflplusplus_ast_o3,aflplusplus_ast_o0,256,8917
bloaty_fuzz_target,aflplusplus_ast_o3,aflplusplus_ast_o1,32,8917
bloaty_fuzz_target,aflplusplus_ast_o3,aflplusplus_ast_o2,362,8917
bloaty_fuzz_target,aflplusplus_ast_o3,aflplusplus_ast_o3,0,8917
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_f0,1,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_f1,2,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_o0,2,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_o1,2,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_o2,0,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_o3,1,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_o3_native,0,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_opt_disable,5,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_opt_l1,5,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,aflplusplus_ast_o3_lto,7,2280
vorbis-2017-12-11,aflplusplus_ast_o3_native,afl_from_input_seed,9,2280
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_f0,9,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_f1,9,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_o0,1,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_o1,6,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_o2,10,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_o3,7,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_o3_native,13,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_opt_disable,0,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_opt_l1,4,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,aflplusplus_ast_o3_lto,13,2288
vorbis-2017-12-11,aflplusplus_ast_opt_disable,afl_from_input_seed,17,2288
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_f0,8,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_f1,9,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_o0,0,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_o1,7,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_o2,8,2286
